"Security Name","Symbol Name","Trade Date","Quantity"
"HDFC AMC LIMITED","HDFCAMC","19-Mar-2026","600"
"MPHASIS LIMITED","MPHASIS","19-Mar-2026","116"
"UNION BANK OF INDIA","UNIONBANK","19-Mar-2026","3"
"OIL AND NATURAL GAS CORP.","ONGC","19-Mar-2026","135"
"PG ELECTROPLAST LTD","PGEL","19-Mar-2026","951"
"SBI CARDS & PAY SER LTD","SBICARD","19-Mar-2026","631"
"EICHER MOTORS LIMITED","EICHERMOT","19-Mar-2026","1"
"MULTI COMMODITY EXCHANGE OF INDIA LIMITED","MCX","19-Mar-2026","75"
"TATA ELXSI LIMITED       ","TATAELXSI","19-Mar-2026","5500"
"AADHAR HOUSING FINANCE L","AADHARHFC","19-Mar-2026","215"
"ACME SOLAR HOLDINGS LTD","ACMESOLAR","19-Mar-2026","77"
"AFCONS INFRASTRUCTURE LTD","AFCONS","19-Mar-2026","41"
"ALEMBIC PHARMA LTD","APLLTD","19-Mar-2026","18"
"BALKRISHNA IND. LTD      ","BALKRISIND","19-Mar-2026","43"
"BALRAMPUR CHINI MILLS LTD","BALRAMCHIN","19-Mar-2026","111"
"CHAMBAL FERTILIZERS LTD","CHAMBLFERT","19-Mar-2026","1583"
"CLEAN SCIENCE & TECH LTD","CLEAN","19-Mar-2026","126"
"DCB BANK LIMITED","DCBBANK","19-Mar-2026","1133"
"EID PARRY INDIA LTD","EIDPARRY","19-Mar-2026","132"
"ERIS LIFESCIENCES LIMITED","ERIS","19-Mar-2026","77"
"GUJARAT MINERAL DEV CORP","GMDCLTD","19-Mar-2026","557"
"GUJARAT PIPAVAV PORT LTD","GPPL","19-Mar-2026","473"
"GARWARE HI-TECH FILMS LTD","GRWRHITECH","19-Mar-2026","123"
"HATSUN AGRO PRODUCT LIMITED","HATSUN","19-Mar-2026","33"
"HONASA CONSUMER LIMITED","HONASA","19-Mar-2026","1302"
"HIMADRI SPECIALITY CHEMICAL LIMITED","HSCL","19-Mar-2026","2723"
"INTELLECT DESIGN ARENA   ","INTELLECT","19-Mar-2026","288"
"JAIN RESOURCE RECYCLING L","JAINREC","19-Mar-2026","7771"
"JINDAL SAW LIMITED","JINDALSAW","19-Mar-2026","784"
"JK PAPER LIMITED","JKPAPER","19-Mar-2026","167"
"JK TYRE & INDUSTRIES LTD","JKTYRE","19-Mar-2026","828"
"JM FINANCIAL LIMITED    ","JMFINANCIL","19-Mar-2026","5970"
"JEENA SIKHO LIFECARE LTD","JSLL","19-Mar-2026","329"
"JSW INFRASTRUCTURE LTD","JSWINFRA","19-Mar-2026","1890"
"JYOTI CNC AUTOMATION LTD","JYOTICNC","19-Mar-2026","726"
"KFIN TECHNOLOGIES LIMITED","KFINTECH","19-Mar-2026","27000"
"KARNATAKA BANK LIMITED","KTKBANK","19-Mar-2026","864"
"LENSKART SOLUTIONS LTD","LENSKART","19-Mar-2026","1334"
"MAHINDRA LIFESPACE DEVLTD","MAHLIFE","19-Mar-2026","56"
"MAHARASHTRA SEAMLESS LTD","MAHSEAMLES","19-Mar-2026","209"
"MANORAMA INDUSTRIES LTD","MANORAMA","19-Mar-2026","22"
"NAZARA TECHNOLOGIES LTD","NAZARA","19-Mar-2026","7777"
"PARADEEP PHOSPHATES LTD","PARADEEP","19-Mar-2026","9885"
"PARAS DEF AND SPCE TECH L","PARAS","19-Mar-2026","35"
"PFIZER LIMITED","PFIZER","19-Mar-2026","23"
"PI INDUSTRIES LTD        ","PIIND","19-Mar-2026","175"
"RHI MAGNESITA INDIA LTD","RHIM","19-Mar-2026","450"
"RITES LIMITED","RITES","19-Mar-2026","1398"
"SHAKTI PUMPS (I) LTD","SHAKTIPUMP","19-Mar-2026","1388"
"SUMITOMO CHEM INDIA LTD","SUMICHEM","19-Mar-2026","137"
"SWAN CORP LIMITED","SWANCORP","19-Mar-2026","2246"
"VENTIVE HOSPITALITY LTD","VENTIVE","19-Mar-2026","7"
"VARDHMAN TEXTILES LIMITED    ","VTL","19-Mar-2026","317"
"ZYDUS WELLNESS LIMITED","ZYDUSWELL","19-Mar-2026","555"
"EMMVEE PHOTOVOLTAIC PWR L","EMMVEE","19-Mar-2026","3609"
"HINDUSTAN ZINC LIMITED","HINDZINC","19-Mar-2026","2"
"360 ONE WAM LIMITED","360ONE","19-Mar-2026","150"
"KAYNES TECHNOLOGY IND LTD","KAYNES","19-Mar-2026","500"
"WESTLIFE DEVELOPMENT LIMITED","WESTLIFE","19-Mar-2026","200"
"ASHOK LEYLAND LTD","ASHOKLEY","19-Mar-2026","3"
"ASTRAL POLY TECHNIK LIMITED","ASTRAL","19-Mar-2026","5"
"TATA STEEL LIMITED","TATASTEEL","19-Mar-2026","21"
"BELRISE INDUSTRIES LTD","BELRISE","19-Mar-2026","1"
"RVNL","RVNL","19-Mar-2026","12250"
"SIEMENS LTD","SIEMENS","19-Mar-2026","1"
"OIL INDIA LTD","OIL","19-Mar-2026","4350"
"JBM AUTO LIMITED","JBMA","19-Mar-2026","447"
"COALINDIA","COALINDIA","19-Mar-2026","23519"
"HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED","HUDCO","19-Mar-2026","1400"
"GOLDMAN SACHS NIFTY EXCHANGE TRADED SCHEME","NIFTYBEES","19-Mar-2026","100"
"GUJARAT GAS LIMITED","GUJGASLTD","19-Mar-2026","6532"
"AARTI PHARMALABS LIMITED","AARTIPHARM","19-Mar-2026","8"
"ADANI GREEN ENERGY LTD","ADANIGREEN","19-Mar-2026","3600"
"AEQUS LIMITED","AEQUS","19-Mar-2026","302"
"ALOKINDS","ALOKINDS","19-Mar-2026","4701"
"MRS BECTORS FOOD SPE LTD","BECTORFOOD","19-Mar-2026","1345"
"ZINKA LOGISTICS SOL LTD","BLACKBUCK","19-Mar-2026","1028"
"CEAT LIMITED","CEATLTD","19-Mar-2026","131"
"CHALET HOTELS LIMITED","CHALET","19-Mar-2026","253"
"CROMPT GREA CON ELEC LTD  ","CROMPTON","19-Mar-2026","1800"
"CSBBANK","CSBBANK","19-Mar-2026","2294"
"EDELWEISS FIN SERV LTD","EDELWEISS","19-Mar-2026","1954"
"EPL","EPL","19-Mar-2026","837"
"ETHOS LIMITED","ETHOSLTD","19-Mar-2026","13"
"FIEM INDUSTRIES LIMITED","FIEMIND","19-Mar-2026","4"
"GABRIEL INDIA LTD","GABRIEL","19-Mar-2026","468"
"GAEL","GAEL","19-Mar-2026","334"
"GODREJ INDUSTRIES LTD","GODREJIND","19-Mar-2026","6"
"HBL ENGINEERING LTD","HBLENGINE","19-Mar-2026","1676"
"HIMACHAL FUTURISTIC COMMUNICATIONS LIMITED","HFCL","19-Mar-2026","54170"
"IFCI LTD","IFCI","19-Mar-2026","8297"
"IIFL CAPITAL SERVICES LTD","IIFLCAPS","19-Mar-2026","178"
"J B CHEMICALS AND PHARMA ","JBCHEPHARM","19-Mar-2026","54"
"JUBLPHARMA","JUBLPHARMA","19-Mar-2026","32"
"KSB","KSB","19-Mar-2026","294"
"LMW LIMITED","LMW","19-Mar-2026","3"
"MOTILAL OSWAL FIN LTD   ","MOTILALOFS","19-Mar-2026","22"
"NUVAMA WEALTH MANAGE LTD","NUVAMA","19-Mar-2026","4500"
"PEARL GLOBAL IND LIMITED","PGIL","19-Mar-2026","42"
"THE PHOENIX MILLS LIMITED","PHOENIXLTD","19-Mar-2026","350"
"RELIGARE ENTERPRISES LIMITED","RELIGARE","19-Mar-2026","1030"
"RELIANCE POWER LTD.","RPOWER","19-Mar-2026","124977"
"SAI LIFE SCIENCES LIMITED","SAILIFE","19-Mar-2026","403"
"SHILPA MEDICARE LTD","SHILPAMED","19-Mar-2026","148"
"TATA TECHNOLOGIES LIMITED","TATATECH","19-Mar-2026","12000"
"THYROCARE TECH LTD","THYROCARE","19-Mar-2026","228"
"TIME TECHNOPLAST LIMITED","TIMETECHNO","19-Mar-2026","2575"
"UNITED BREWERIES LIMITED","UBL","19-Mar-2026","28"
"UCO BANK","UCOBANK","19-Mar-2026","3299"
"UTI ASSET MNGMT CO LTD","UTIAMC","19-Mar-2026","128"
"WOCKHARDT LIMITED","WOCKPHARMA","19-Mar-2026","283"
"ZEN TECHNOLOGIES LIMITED","ZENTEC","19-Mar-2026","723"
"BAJAJ HINDUSTAN LTD","BAJAJHIND","19-Mar-2026","4200"
"INDIAN RENEWABLE ENERGY","IREDA","19-Mar-2026","750"
"GMR AIRPORTS LIMITED","GMRAIRPORT","19-Mar-2026","1314"
"MIRAEAMC - METAL","METAL","19-Mar-2026","10"
"WIPRO LTD","WIPRO","19-Mar-2026","2"
"VEDANTA LIMITED","VEDL","19-Mar-2026","67"
"NEWGEN","NEWGEN","19-Mar-2026","100"
"RAYMOND REALTY LIMITED","RAYMONDREL","19-Mar-2026","500"
"HCL TECHNOLOGIES LTD","HCLTECH","19-Mar-2026","1050"
"BAJAJ FINANCE LIMITED","BAJFINANCE","19-Mar-2026","20"
"ONE 97 COMMUNICATIONS LTD","PAYTM","19-Mar-2026","1"
"STATE BANK OF INDIA","SBIN","19-Mar-2026","644"
"SUZLON ENERGY LIMITED","SUZLON","19-Mar-2026","1795"
"ADANI ENTERPRISES LIMITED","ADANIENT","19-Mar-2026","14214"
"ARCHEAN CHEMICAL IND LTD","ACI","19-Mar-2026","9"
"ADANI ENERGY SOLUTION LTD","ADANIENSOL","19-Mar-2026","8775"
"ALIVUS LIFE SCIENCES LTD","ALIVUS","19-Mar-2026","676"
"ALKYL AMINES CHEM. LTD","ALKYLAMINE","19-Mar-2026","138"
"AMARA RAJA ENERGY MOB","ARE&M","19-Mar-2026","193"
"ADANI WILMAR LIMITED","AWL","19-Mar-2026","9566"
"AZAD ENGINEERING LIMITED","AZAD","19-Mar-2026","104"
"BAJAJ HOUSING FINANCE LTD","BAJAJHFL","19-Mar-2026","10530"
"BLUE STAR LIMITED","BLUESTARCO","19-Mar-2026","325"
"CELLO WORLD LIMITED","CELLO","19-Mar-2026","936"
"SIEMENS ENERGY INDIA LTD","ENRIN","19-Mar-2026","236"
"EQUITASBNK","EQUITASBNK","19-Mar-2026","2583"
"FIRSTSOURCE SOLU. LTD.","FSL","19-Mar-2026","1918"
"GENERAL INSURANCE CORPORATION OF INDIA","GICRE","19-Mar-2026","123"
"GO DIGIT GENERAL INS LTD","GODIGIT","19-Mar-2026","1"
"GUJARAT STATE PETRO LTD","GSPL","19-Mar-2026","1284"
"INOX INDIA LIMITED","INOXINDIA","19-Mar-2026","130"
"J & K BANK LTD.","J&KBANK","19-Mar-2026","6758"
"KRBL LIMITED","KRBL","19-Mar-2026","15"
"DR. LAL PATH LABS LTD.","LALPATHLAB","19-Mar-2026","71"
"ITC LTD","ITC","19-Mar-2026","370"
"MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED","M&MFIN","19-Mar-2026","2189"
"VEDANT FASHIONS LIMITED","MANYAVAR","19-Mar-2026","736"
"NATCO PHARMA LIMITED","NATCOPHARM","19-Mar-2026","219"
"NARAYANA HRUDAYALAYA LTD.","NH","19-Mar-2026","254"
"PINE LABS LIMITED","PINELABS","19-Mar-2026","522"
"POONAWALLA FINCORP LTD","POONAWALLA","19-Mar-2026","2385"
"POWER MECH PROJECTS LTD.","POWERMECH","19-Mar-2026","706"
"PHYSICSWALLAH LIMITED","PWL","19-Mar-2026","12089"
"RUBICON RESEARCH LIMITED","RUBICON","19-Mar-2026","93"
"SAFARI IND (INDIA) LTD","SAFARI","19-Mar-2026","95"
"SHARDA CROPCHEM LTD.","SHARDACROP","19-Mar-2026","172"
"SUN TV NETWORK LIMITED","SUNTV","19-Mar-2026","176"
"THANGAMAYIL JEWELLERY LTD","THANGAMAYL","19-Mar-2026","112"
"TRIDENT LIMITED","TRIDENT","19-Mar-2026","2939"
"USHA MARTIN LTD.","USHAMART","19-Mar-2026","567"
"WHIRLPOOL OF INDIA LTD   ","WHIRLPOOL","19-Mar-2026","74"
"ZEE ENTERTAINMENT ENT LTD","ZEEL","19-Mar-2026","7196"
"BSE LIMITED","BSE","19-Mar-2026","100"
"MOIL LIMITED     ","MOIL","19-Mar-2026","100"
"HIND RECTIFIER LIMITED","HIRECT","19-Mar-2026","21"
"CONTAINER CORP OF IND LTD","CONCOR","19-Mar-2026","1250"
"MOTILALAMC - MOQUALITY","MOQUALITY","19-Mar-2026","2"
"TITAN INDUSTRIES LTD","TITAN","19-Mar-2026","175"
"BHEL","BHEL","19-Mar-2026","5825"
"RAYMOND LIMITED","RAYMOND","19-Mar-2026","500"
"CIPLA LTD","CIPLA","19-Mar-2026","3"
"IDEA CELLULAR LIMITED","IDEA","19-Mar-2026","1"
"NHPC LTD","NHPC","19-Mar-2026","1200"
"VARUN BEVERAGES LIMITED    ","VBL","19-Mar-2026","100"
"PRAKASH INDUSTRIES LIMITED","PRAKASH","19-Mar-2026","4"
"DIXON TECHNO (INDIA) LTD","DIXON","19-Mar-2026","3201"
"Oracle Financial Services Software Limited","OFSS","19-Mar-2026","600"
"ADITYA BIRLA LIFES BRAN L","ABLBL","19-Mar-2026","1103"
"ANANT RAJ LIMITED","ANANTRAJ","19-Mar-2026","55"
"ASTRAMICRO","ASTRAMICRO","19-Mar-2026","300"
"ATHER ENERGY LIMITED","ATHERENERG","19-Mar-2026","1186"
"BRIGADE ENTER. LTD","BRIGADE","19-Mar-2026","420"
"CERA","CERA","19-Mar-2026","34"
"CONCORD BIOTECH LIMITED","CONCORDBIO","19-Mar-2026","175"
"GARWARE TECH FIBRES LTD","GARFIBRES","19-Mar-2026","19"
"GODREJ AGROVET LIMITED","GODREJAGRO","19-Mar-2026","71"
"GOKUL AGRO RESOURCES LTD","GOKULAGRO","19-Mar-2026","5191"
